RestaurantName,PhoneNumber,ReviewCount,Rating,Price,Address,Longitude,Latitude,UrlLink,State,RefId
Iron City Pizza Company,(205) 847-4396,48,4.5,0,"['2012 Magnolia Ave S', 'Ste R3', 'Pickwick Place', 'Birmingham, AL 35205']",-86.796054,33.501251,https://www.yelp.com/biz/iron-city-pizza-company-birmingham-5?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,6e0Yd8I0yeG1rhNtBRiBaQ
Troup's Pizza,(205) 536-6860,45,4.5,0,"['3144 Heights Village', 'Vestavia Hills, AL 35243']",-86.7355311,33.4560723,https://www.yelp.com/biz/troups-pizza-vestavia-hills?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,ZngkCyGnR1LMFioRYHGVqg
Godfather's Pizza,(205) 848-8111,31,4.5,0,"['231 State Farm Pkwy', 'Birmingham, AL 35209']",-86.82708,33.44629,https://www.yelp.com/biz/godfathers-pizza-birmingham-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,0NDc-ivD0E-dlobdGsimkA
Post Office Pies,(205) 599-9900,389,4.0,2,"['209 41st St', 'Birmingham, AL 35222']",-86.77383,33.524192,https://www.yelp.com/biz/post-office-pies-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,tIeVLnW8-khcrES51dIpDg
Davenport's Pizza Palace,(205) 879-8603,156,4.0,2,"['2837 Cahaba Rd', 'Mountain Brook, AL 35223']",-86.772919,33.482451,https://www.yelp.com/biz/davenports-pizza-palace-mountain-brook?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,45hWG-1SvfMax_6rYpXA9g
Dave's Pizza,(205) 871-3212,109,4.0,2,"['1819 29th Ave S', 'Birmingham, AL 35209']",-86.7907867431641,33.4793128967285,https://www.yelp.com/biz/daves-pizza-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,1aDA_D0aBikojZwx73m5pQ
Slice Pizza & Brewhouse - Lakeview,(205) 715-9300,339,4.0,2,"['725 29th St S', 'Birmingham, AL 35233']",-86.786411,33.5112443,https://www.yelp.com/biz/slice-pizza-and-brewhouse-lakeview-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,vGQy320jQkgoX0HeYeF_Vg
Tortugas Pizza,(205) 730-9249,78,4.5,2,"['1304 2nd Ave S', 'Birmingham, AL 35233']",-86.81261,33.50677,https://www.yelp.com/biz/tortugas-pizza-birmingham-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,7rNZGzDHK_Vjk6tvOHv5yA
Pies & Pints,(205) 716-1085,266,4.0,2,"['125 20th St S', 'Birmingham, AL 35233']",-86.8031881028836,33.5111115161834,https://www.yelp.com/biz/pies-and-pints-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,-EqO_qda80020GWFWrCOKw
Donatos Pizza,(205) 824-1112,73,4.0,2,"['629 Montgomery Hwy', 'Birmingham, AL 35216']",-86.7894839,33.4485658,https://www.yelp.com/biz/donatos-pizza-birmingham-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,Mkqxj11EKKqM71hfhjr9VQ
