RestaurantName,PhoneNumber,ReviewCount,Rating,Price,Address,Longitude,Latitude,UrlLink,State,RefId
El Barrio,(205) 868-3737,670,4.5,2,"['2211 2nd Ave N', 'Birmingham, AL 35203']",-86.8030741,33.5169035,https://www.yelp.com/biz/el-barrio-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,wGKlPWIZVslyMM9es7vg1A
Saw's Soul Kitchen,(205) 591-1409,823,4.5,2,"['215 41st St S', 'Birmingham, AL 35222']",-86.77383,33.52419,https://www.yelp.com/biz/saws-soul-kitchen-birmingham-3?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,CcvzbAdZR7kN_HQy5i4AtA
Yo' Mama's,(205) 957-6545,394,4.5,2,"['2328 2nd Ave N', 'Birmingham, AL 35203']",-86.80183,33.51766,https://www.yelp.com/biz/yo-mamas-birmingham-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,inQbIfh7ME9hK0FRyJ6m6w
Carrigan's - Downtown,(205) 777-4925,535,4.5,2,"['2430 Morris Ave', 'Birmingham, AL 35203']",-86.7986459428528,33.5171239295806,https://www.yelp.com/biz/carrigans-downtown-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,cBBkzOlODF5Fh3y84i1eYA
Hattie B's Hot Chicken - Bham,(205) 578-6018,570,4.5,2,"['2808 7th Ave S', 'Ste 101', 'Birmingham, AL 35233']",-86.788468,33.511543,https://www.yelp.com/biz/hattie-bs-hot-chicken-bham-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,W6Z4VGSJ5lLymR2idLNLfw
Highlands Bar & Grill,(205) 939-1400,308,4.5,3,"['2011 11th Ave S', 'Birmingham, AL 35205']",-86.795577,33.500572,https://www.yelp.com/biz/highlands-bar-and-grill-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,wGPimgA9Nu5JMiptw6I6JA
Chez Fonfon,(205) 939-3221,335,4.5,2,"['2007 11th Ave S', 'Birmingham, AL 35205']",-86.7960132,33.5005305,https://www.yelp.com/biz/chez-fonfon-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,kkqKAH2hKFDOCte1zyd57Q
Jack Brown's Beer & Burger Joint,(205) 203-4512,537,4.0,2,"['2811 7th Ave S', 'Birmingham, AL 35233']",-86.7883818,33.5111334,https://www.yelp.com/biz/jack-browns-beer-and-burger-joint-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,0ZcwpVEYRZ-ZyeLsZS2oGA
Gianmarco's Restaurant,(205) 871-9622,430,4.5,2,"['721 Broadway St', 'Birmingham, AL 35209']",-86.81252,33.46221,https://www.yelp.com/biz/gianmarcos-restaurant-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,dKvvDoYppcVnAirRXbN3Xw
Trattoria Zaza,(205) 202-6207,308,4.5,2,"['207A 20th St N', 'Birmingham, AL 35203']",-86.8063214091213,33.5155820048533,https://www.yelp.com/biz/trattoria-zaza-birmingham?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,AL,zWAQqP0zVzTMYA_0r-EjoA
